season,home_team_name,away_team_name,full_time_result,home_goals,away_goals,half_time_HOME_Team_score,half_time_Away_Team_score
2018,Manchester United,Leicester,H,2,1,1,0
2018,Bournemouth,Cardiff,H,2,0,1,0
2018,Fulham,Crystal Palace,A,0,2,0,1
2018,Huddersfield,Chelsea,A,0,3,0,2
2018,Newcastle United,Tottenham,A,1,2,1,2
2018,Watford,Brighton,H,2,0,1,0
2018,Wolves,Everton,D,2,2,1,1
2018,Arsenal,Manchester City,A,0,2,0,1
2018,Liverpool,West Ham,H,4,0,2,0
2018,Southampton,Burnley,D,0,0,0,0
2018,Cardiff,Newcastle United,D,0,0,0,0
2018,Chelsea,Arsenal,H,3,2,2,2
2018,Everton,Southampton,H,2,1,2,0
2018,Leicester,Wolves,H,2,0,2,0
2018,Tottenham,Fulham,H,3,1,1,0
2018,West Ham,Bournemouth,A,1,2,1,0
2018,Brighton,Manchester United,H,3,2,3,1
2018,Burnley,Watford,A,1,3,1,1
2018,Manchester City,Huddersfield,H,6,1,3,1
2018,Crystal Palace,Liverpool,A,0,2,0,1
2018,Arsenal,West Ham,H,3,1,1,1
2018,Bournemouth,Everton,D,2,2,0,0
2018,Huddersfield,Cardiff,D,0,0,0,0
2018,Liverpool,Brighton,H,1,0,1,0
2018,Southampton,Leicester,A,1,2,0,0
2018,Wolves,Manchester City,D,1,1,0,0
2018,Fulham,Burnley,H,4,2,3,2
2018,Newcastle United,Chelsea,A,1,2,0,0
2018,Watford,Crystal Palace,H,2,1,0,0
2018,Manchester United,Tottenham,A,0,3,0,0
2018,Brighton,Fulham,D,2,2,0,1
2018,Chelsea,Bournemouth,H,2,0,0,0
2018,Crystal Palace,Southampton,A,0,2,0,0
2018,Everton,Huddersfield,D,1,1,1,1
2018,Leicester,Liverpool,A,1,2,0,2
2018,Manchester City,Newcastle United,H,2,1,1,1
2018,West Ham,Wolves,A,0,1,0,0
2018,Burnley,Manchester United,A,0,2,0,2
2018,Cardiff,Arsenal,A,2,3,1,1
2018,Watford,Tottenham,H,2,1,0,0
2018,Bournemouth,Leicester,H,4,2,3,0
2018,Chelsea,Cardiff,H,4,1,2,1
2018,Huddersfield,Crystal Palace,A,0,1,0,1
2018,Manchester City,Fulham,H,3,0,2,0
2018,Newcastle United,Arsenal,A,1,2,0,0
2018,Tottenham,Liverpool,A,1,2,0,1
2018,Watford,Manchester United,A,1,2,0,2
2018,Everton,West Ham,A,1,3,1,2
2018,Wolves,Burnley,H,1,0,0,0
2018,Southampton,Brighton,D,2,2,1,0
2018,Brighton,Tottenham,A,1,2,0,1
2018,Burnley,Bournemouth,H,4,0,2,0
2018,Cardiff,Manchester City,A,0,5,0,3
2018,Crystal Palace,Newcastle United,D,0,0,0,0
2018,Fulham,Watford,D,1,1,0,1
2018,Leicester,Huddersfield,H,3,1,1,1
2018,Liverpool,Southampton,H,3,0,3,0
2018,Manchester United,Wolves,D,1,1,1,0
2018,Arsenal,Everton,H,2,0,0,0
2018,West Ham,Chelsea,D,0,0,0,0
2018,Arsenal,Watford,H,2,0,0,0
2018,Chelsea,Liverpool,D,1,1,1,0
2018,Everton,Fulham,H,3,0,0,0
2018,Huddersfield,Tottenham,A,0,2,0,2
2018,Manchester City,Brighton,H,2,0,1,0
2018,Newcastle United,Leicester,A,0,2,0,1
2018,West Ham,Manchester United,H,3,1,2,0
2018,Wolves,Southampton,H,2,0,0,0
2018,Cardiff,Burnley,A,1,2,0,0
2018,Bournemouth,Crystal Palace,H,2,1,1,0
2018,Brighton,West Ham,H,1,0,1,0
2018,Burnley,Huddersfield,D,1,1,1,0
2018,Crystal Palace,Wolves,A,0,1,0,0
2018,Leicester,Everton,A,1,2,1,1
2018,Manchester United,Newcastle United,H,3,2,0,2
2018,Tottenham,Cardiff,H,1,0,1,0
2018,Watford,Bournemouth,A,0,4,0,3
2018,Fulham,Arsenal,A,1,5,1,1
2018,Liverpool,Manchester City,D,0,0,0,0
2018,Southampton,Chelsea,A,0,3,0,1
2018,Bournemouth,Southampton,D,0,0,0,0
2018,Cardiff,Fulham,H,4,2,2,2
2018,Chelsea,Manchester United,D,2,2,1,0
2018,Huddersfield,Liverpool,A,0,1,0,1
2018,Manchester City,Burnley,H,5,0,1,0
2018,Newcastle United,Brighton,A,0,1,0,1
2018,West Ham,Tottenham,A,0,1,0,1
2018,Wolves,Watford,A,0,2,0,2
2018,Everton,Crystal Palace,H,2,0,0,0
2018,Arsenal,Leicester,H,3,1,1,1
2018,Brighton,Wolves,H,1,0,0,0
2018,Fulham,Bournemouth,A,0,3,0,1
2018,Leicester,West Ham,D,1,1,0,1
2018,Liverpool,Cardiff,H,4,1,1,0
2018,Southampton,Newcastle United,D,0,0,0,0
2018,Watford,Huddersfield,H,3,0,2,0
2018,Burnley,Chelsea,A,0,4,0,1
2018,Crystal Palace,Arsenal,D,2,2,1,0
2018,Manchester United,Everton,H,2,1,1,0
2018,Tottenham,Manchester City,A,0,1,0,1
2018,Arsenal,Liverpool,D,1,1,0,0
2018,Bournemouth,Manchester United,A,1,2,1,1
2018,Cardiff,Leicester,A,0,1,0,0
2018,Everton,Brighton,H,3,1,1,1
2018,Newcastle United,Watford,H,1,0,0,0
2018,West Ham,Burnley,H,4,2,1,1
2018,Wolves,Tottenham,A,2,3,0,2
2018,Chelsea,Crystal Palace,H,3,1,1,0
2018,Manchester City,Southampton,H,6,1,4,1
2018,Huddersfield,Fulham,H,1,0,1,0
2018,Cardiff,Brighton,H,2,1,1,1
2018,Crystal Palace,Tottenham,A,0,1,0,0
2018,Huddersfield,West Ham,D,1,1,1,0
2018,Leicester,Burnley,D,0,0,0,0
2018,Newcastle United,Bournemouth,H,2,1,2,1
2018,Southampton,Watford,D,1,1,1,0
2018,Arsenal,Wolves,D,1,1,0,1
2018,Chelsea,Everton,D,0,0,0,0
2018,Liverpool,Fulham,H,2,0,1,0
2018,Manchester City,Manchester United,H,3,1,1,0
2018,Brighton,Leicester,D,1,1,1,0
2018,Everton,Cardiff,H,1,0,0,0
2018,Fulham,Southampton,H,3,2,2,1
2018,Manchester United,Crystal Palace,D,0,0,0,0
2018,Tottenham,Chelsea,H,3,1,2,0
2018,Watford,Liverpool,A,0,3,0,0
2018,West Ham,Manchester City,A,0,4,0,3
2018,Bournemouth,Arsenal,A,1,2,1,1
2018,Wolves,Huddersfield,A,0,2,0,1
2018,Burnley,Newcastle United,A,1,2,1,2
2018,Cardiff,Wolves,H,2,1,0,1
2018,Crystal Palace,Burnley,H,2,0,1,0
2018,Huddersfield,Brighton,A,1,2,1,1
2018,Leicester,Watford,H,2,0,2,0
2018,Manchester City,Bournemouth,H,3,1,1,1
2018,Newcastle United,West Ham,A,0,3,0,1
2018,Southampton,Manchester United,D,2,2,2,2
2018,Arsenal,Tottenham,H,4,2,1,2
2018,Chelsea,Fulham,H,2,0,1,0
2018,Liverpool,Everton,H,1,0,0,0
2018,Bournemouth,Huddersfield,H,2,1,2,1
2018,Brighton,Crystal Palace,H,3,1,3,0
2018,Watford,Manchester City,A,1,2,0,1
2018,West Ham,Cardiff,H,3,1,0,0
2018,Burnley,Liverpool,A,1,3,0,0
2018,Everton,Newcastle United,D,1,1,1,1
2018,Fulham,Leicester,D,1,1,1,0
2018,Manchester United,Arsenal,D,2,2,1,1
2018,Tottenham,Southampton,H,3,1,1,0
2018,Wolves,Chelsea,H,2,1,0,1
2018,Arsenal,Huddersfield,H,1,0,0,0
2018,Bournemouth,Liverpool,A,0,4,0,1
2018,Burnley,Brighton,H,1,0,1,0
2018,Cardiff,Southampton,H,1,0,0,0
2018,Chelsea,Manchester City,H,2,0,1,0
2018,Leicester,Tottenham,A,0,2,0,1
2018,Manchester United,Fulham,H,4,1,3,0
2018,West Ham,Crystal Palace,H,3,2,0,1
2018,Newcastle United,Wolves,A,1,2,1,1
2018,Everton,Watford,D,2,2,1,0
2018,Crystal Palace,Leicester,H,1,0,1,0
2018,Fulham,West Ham,A,0,2,0,2
2018,Huddersfield,Newcastle United,A,0,1,0,0
