season,home_team_name,away_team_name,full_time_result,home_goals,away_goals,half_time_HOME_Team_score,half_time_Away_Team_score
2014,Arsenal,Crystal Palace,H,2,1,1,1
2014,Burnley,Chelsea,A,1,3,1,3
2014,Leicester,Everton,D,2,2,1,2
2014,Liverpool,Southampton,H,2,1,1,0
2014,Manchester United,Swansea,A,1,2,0,1
2014,Newcastle United,Manchester City,A,0,2,0,1
2014,Queens Park Rangers,Hull,A,0,1,0,0
2014,Stoke,Aston Villa,A,0,1,0,0
2014,West Bromwich Albion,Sunderland,D,2,2,1,1
2014,West Ham,Tottenham,A,0,1,0,0
2014,Aston Villa,Newcastle United,D,0,0,0,0
2014,Chelsea,Leicester,H,2,0,0,0
2014,Crystal Palace,West Ham,A,1,3,0,2
2014,Everton,Arsenal,D,2,2,2,0
2014,Hull,Stoke,D,1,1,1,0
2014,Manchester City,Liverpool,H,3,1,1,0
2014,Southampton,West Bromwich Albion,D,0,0,0,0
2014,Sunderland,Manchester United,D,1,1,1,1
2014,Swansea,Burnley,H,1,0,1,0
2014,Tottenham,Queens Park Rangers,H,4,0,3,0
2014,Aston Villa,Hull,H,2,1,2,0
2014,Burnley,Manchester United,D,0,0,0,0
2014,Everton,Chelsea,A,3,6,1,2
2014,Leicester,Arsenal,D,1,1,1,1
2014,Manchester City,Stoke,A,0,1,0,0
2014,Newcastle United,Crystal Palace,D,3,3,1,1
2014,Queens Park Rangers,Sunderland,H,1,0,1,0
2014,Swansea,West Bromwich Albion,H,3,0,2,0
2014,Tottenham,Liverpool,A,0,3,0,1
2014,West Ham,Southampton,A,1,3,1,1
2014,Arsenal,Manchester City,D,2,2,0,1
2014,Chelsea,Swansea,H,4,2,1,1
2014,Crystal Palace,Burnley,D,0,0,0,0
2014,Hull,West Ham,D,2,2,1,0
2014,Liverpool,Aston Villa,A,0,1,0,1
2014,Manchester United,Queens Park Rangers,H,4,0,3,0
2014,Southampton,Newcastle United,H,4,0,2,0
2014,Stoke,Leicester,A,0,1,0,0
2014,Sunderland,Tottenham,D,2,2,1,1
2014,West Bromwich Albion,Everton,A,0,2,0,1
2014,Aston Villa,Arsenal,A,0,3,0,3
2014,Burnley,Sunderland,D,0,0,0,0
2014,Everton,Crystal Palace,A,2,3,1,1
2014,Leicester,Manchester United,H,5,3,1,2
2014,Manchester City,Chelsea,D,1,1,0,0
2014,Newcastle United,Hull,D,2,2,0,0
2014,Queens Park Rangers,Stoke,D,2,2,1,1
2014,Swansea,Southampton,A,0,1,0,0
2014,Tottenham,West Bromwich Albion,A,0,1,0,0
2014,West Ham,Liverpool,H,3,1,2,1
2014,Arsenal,Tottenham,D,1,1,0,0
2014,Chelsea,Aston Villa,H,3,0,1,0
2014,Crystal Palace,Leicester,H,2,0,0,0
2014,Hull,Manchester City,A,2,4,2,2
2014,Liverpool,Everton,D,1,1,0,0
2014,Manchester United,West Ham,H,2,1,2,1
2014,Southampton,Queens Park Rangers,H,2,1,0,0
2014,Stoke,Newcastle United,H,1,0,1,0
2014,Sunderland,Swansea,D,0,0,0,0
2014,West Bromwich Albion,Burnley,H,4,0,2,0
2014,Leicester,West Bromwich Albion,A,0,1,0,0
2014,West Ham,Aston Villa,D,0,0,0,0
2014,Southampton,Stoke,H,1,0,1,0
2014,Manchester City,Manchester United,H,1,0,0,0
2014,Arsenal,Manchester United,A,1,2,0,0
2014,Burnley,West Ham,A,1,3,0,0
2014,Sunderland,Arsenal,A,0,2,0,1
2014,Newcastle United,Liverpool,H,1,0,0,0
2014,Aston Villa,Southampton,D,1,1,1,0
2014,Crystal Palace,Chelsea,A,1,2,0,1
2014,Swansea,Leicester,H,2,0,1,0
2014,Stoke,West Ham,D,2,2,1,0
2014,Chelsea,West Bromwich Albion,H,2,0,2,0
2014,Everton,Aston Villa,H,3,0,1,0
2014,Tottenham,Newcastle United,A,1,2,1,0
2014,Burnley,Hull,H,1,0,0,0
2014,Crystal Palace,Liverpool,H,3,1,1,1
2014,Manchester City,Tottenham,H,4,1,2,1
