season,home_team_name,away_team_name,date_string,full_time_result,home_goals,away_goals,half_time_HOME_Team_score,half_time_Away_Team_score
2017,Arsenal,Leicester,11/8/2017,H,4,3,2,2
2017,Brighton,Manchester City,12/8/2017,A,0,2,0,0
2017,Chelsea,Burnley,12/8/2017,A,2,3,0,3
2017,Crystal Palace,Huddersfield,12/8/2017,A,0,3,0,2
2017,Everton,Stoke,12/8/2017,H,1,0,1,0
2017,Manchester United,West Ham,13/08/2017 16:00:00,H,4,0,1,0
2017,Newcastle United,Tottenham,13/08/2017 13:30:00,A,0,2,0,0
2017,Southampton,Swansea,12/8/2017,D,0,0,0,0
2017,Watford,Liverpool,12/8/2017,D,3,3,2,1
2017,West Bromwich Albion,Bournemouth,12/8/2017,H,1,0,1,0
2017,Bournemouth,Watford,19/08/2017 15:00:00,A,0,2,0,0
2017,Burnley,West Bromwich Albion,19/08/2017 15:00:00,A,0,1,0,0
2017,Huddersfield,Newcastle United,20/08/2017 13:30:00,H,1,0,0,0
2017,Leicester,Brighton,19/08/2017 15:00:00,H,2,0,1,0
2017,Liverpool,Crystal Palace,19/08/2017 15:00:00,H,1,0,0,0
2017,Manchester City,Everton,21/08/2017 20:00:00,D,1,1,0,1
2017,Stoke,Arsenal,19/08/2017 17:30:00,H,1,0,0,0
2017,Chelsea,Arsenal,17/09/2017 13:30:00,D,0,0,0,0
2017,Crystal Palace,Southampton,16/09/2017 12:30:00,A,0,1,0,1
2017,Huddersfield,Southampton,26/08/2017 15:00:00,D,0,0,0,0
2017,Huddersfield,Leicester,16/09/2017 15:00:00,D,1,1,0,0
2017,Liverpool,Arsenal,27/08/2017 16:00:00,H,4,0,2,0
2017,Liverpool,Burnley,16/09/2017 15:00:00,D,1,1,1,1
2017,Manchester United,Leicester,26/08/2017 17:30:00,H,2,0,0,0
2017,Manchester United,Everton,17/09/2017 16:00:00,H,4,0,1,0
2017,Newcastle United,West Ham,26/08/2017 15:00:00,H,3,0,1,0
2017,Newcastle United,Stoke,16/09/2017 15:00:00,H,2,1,1,0
2017,Tottenham,Burnley,27/08/2017 16:00:00,D,1,1,0,0
2017,Tottenham,Swansea,16/09/2017 17:30:00,D,0,0,0,0
2017,Watford,Brighton,26/08/2017 15:00:00,D,0,0,0,0
2017,Watford,Manchester City,16/09/2017 15:00:00,A,0,6,0,3
2017,West Bromwich Albion,Stoke,27/08/2017 13:30:00,D,1,1,0,0
2017,Swansea,Manchester United,19/08/2017 12:30:00,A,0,4,0,1
2017,West Bromwich Albion,West Ham,16/09/2017 15:00:00,D,0,0,0,0
2017,Arsenal,Bournemouth,9/9/2017,H,3,0,2,0
2017,Tottenham,Chelsea,20/08/2017 16:00:00,A,1,2,0,1
2017,Arsenal,West Bromwich Albion,25/09/2017 20:00:00,H,2,0,1,0
2017,Brighton,West Bromwich Albion,9/9/2017,H,3,1,1,0
2017,Brighton,Newcastle United,24/09/2017 16:00:00,H,1,0,0,0
2017,Burnley,Crystal Palace,10/9/2017,H,1,0,1,0
2017,Bournemouth,Manchester City,26/08/2017 12:30:00,A,1,2,1,1
2017,Burnley,Huddersfield,23/09/2017 15:00:00,D,0,0,0,0
2017,Everton,Tottenham,9/9/2017,A,0,3,0,2
2017,Chelsea,Everton,27/08/2017 13:30:00,H,2,0,2,0
2017,Everton,Bournemouth,23/09/2017 15:00:00,H,2,1,0,0
2017,Leicester,Chelsea,9/9/2017,A,1,2,0,1
2017,Crystal Palace,Swansea,26/08/2017 15:00:00,A,0,2,0,1
2017,Leicester,Liverpool,23/09/2017 17:30:00,A,2,3,1,2
2017,Manchester City,Liverpool,9/9/2017,H,5,0,2,0
2017,Everton,Arsenal,22/10/2017 13:30:00,A,2,5,1,1
2017,Southampton,Watford,9/9/2017,A,0,2,0,1
2017,Huddersfield,Manchester United,21/10/2017 15:00:00,H,2,1,2,0
2017,Stoke,Manchester United,9/9/2017,D,2,2,1,1
2017,Manchester City,Burnley,21/10/2017 15:00:00,H,3,0,1,0
2017,Swansea,Newcastle United,10/9/2017,A,0,1,0,0
2017,Newcastle United,Crystal Palace,21/10/2017 15:00:00,H,1,0,0,0
2017,Southampton,West Bromwich Albion,21/10/2017 17:30:00,H,1,0,0,0
2017,Stoke,Bournemouth,21/10/2017 15:00:00,A,1,2,0,2
2017,Swansea,Leicester,21/10/2017 15:00:00,A,1,2,0,1
2017,Tottenham,Liverpool,22/10/2017 16:00:00,H,4,1,3,1
2017,West Ham,Brighton,20/10/2017 20:00:00,A,0,3,0,2
2017,Arsenal,Swansea,28/10/2017 15:00:00,H,2,1,0,1
2017,Manchester City,Crystal Palace,23/09/2017 15:00:00,H,5,0,1,0
2017,West Ham,Huddersfield,11/9/2017,H,2,0,0,0
2017,Bournemouth,Chelsea,28/10/2017 17:30:00,A,0,1,0,0
2017,Southampton,Manchester United,23/09/2017 15:00:00,A,0,1,0,1
2017,Bournemouth,Brighton,15/09/2017 20:00:00,H,2,1,0,0
2017,Brighton,Southampton,29/10/2017 16:30:00,D,1,1,0,1
2017,Stoke,Chelsea,23/09/2017 15:00:00,A,0,4,0,2
2017,Burnley,Newcastle United,30/10/2017 20:00:00,H,1,0,0,0
2017,Swansea,Watford,23/09/2017 15:00:00,A,1,2,0,1
2017,Crystal Palace,West Ham,28/10/2017 15:00:00,D,2,2,0,2
2017,West Ham,Tottenham,23/09/2017 12:30:00,A,2,3,0,2
2017,Leicester,Everton,29/10/2017 16:00:00,H,2,0,2,0
2017,Arsenal,Brighton,1/10/2017,H,2,0,1,0
2017,Liverpool,Huddersfield,28/10/2017 15:00:00,H,3,0,0,0
2017,Bournemouth,Leicester,30/09/2017 15:00:00,D,0,0,0,0
2017,Manchester United,Tottenham,28/10/2017 12:30:00,H,1,0,0,0
2017,Chelsea,Manchester City,30/09/2017 17:30:00,A,0,1,0,0
2017,Watford,Stoke,28/10/2017 15:00:00,A,0,1,0,1
2017,Everton,Burnley,1/10/2017,A,0,1,0,1
2017,West Bromwich Albion,Manchester City,28/10/2017 15:00:00,A,2,3,1,2
2017,Huddersfield,Tottenham,30/09/2017 14:30:00,A,0,4,0,3
2017,Chelsea,Manchester United,5/11/2017,H,1,0,0,0
2017,Manchester United,Crystal Palace,30/09/2017 15:00:00,H,4,0,2,0
2017,Everton,Watford,5/11/2017,H,3,2,0,0
2017,Newcastle United,Liverpool,1/10/2017,D,1,1,1,1
2017,Huddersfield,West Bromwich Albion,4/11/2017,H,1,0,1,0
2017,Stoke,Southampton,30/09/2017 15:00:00,H,2,1,1,0
2017,West Bromwich Albion,Watford,30/09/2017 15:00:00,D,2,2,2,1
2017,West Ham,Swansea,30/09/2017 15:00:00,H,1,0,0,0
2017,Brighton,Everton,15/10/2017 13:30:00,D,1,1,0,0
2017,Burnley,West Ham,14/10/2017 15:00:00,D,1,1,0,1
2017,Crystal Palace,Chelsea,14/10/2017 15:00:00,H,2,1,2,1
2017,Leicester,West Bromwich Albion,16/10/2017 20:00:00,D,1,1,0,0
2017,Liverpool,Manchester United,14/10/2017 12:30:00,D,0,0,0,0
2017,Manchester City,Stoke,14/10/2017 15:00:00,H,7,2,3,1
2017,Southampton,Newcastle United,15/10/2017 16:00:00,D,2,2,0,1
2017,Swansea,Huddersfield,14/10/2017 17:00:00,H,2,0,1,0
2017,Leicester,Burnley,2/12/2017,H,1,0,1,0
2017,Burnley,Swansea,18/11/2017 15:00:00,H,2,0,2,0
2017,West Ham,Leicester,24/11/2017 20:00:00,D,1,1,1,1
2017,Manchester City,West Ham,3/12/2017,H,2,1,0,1
2017,Crystal Palace,Everton,18/11/2017 15:00:00,D,2,2,2,2
2017,Arsenal,Huddersfield,29/11/2017 19:45:00,H,5,0,1,0
2017,Stoke,Swansea,2/12/2017,H,2,1,2,1
2017,Leicester,Manchester City,18/11/2017 15:00:00,A,0,2,0,1
2017,Bournemouth,Burnley,29/11/2017 19:45:00,A,1,2,0,1
2017,Watford,Tottenham,2/12/2017,D,1,1,1,1
2017,Liverpool,Southampton,18/11/2017 15:00:00,H,3,0,2,0
2017,Brighton,Crystal Palace,28/11/2017 19:45:00,D,0,0,0,0
2017,West Bromwich Albion,Crystal Palace,2/12/2017,D,0,0,0,0
