season,home_team_name,away_team_name
2019,Manchester City,Arsenal
2019,Aston Villa,Sheffield United
2019,Watford,Leicester
2019,Bournemouth,Crystal Palace
2019,Newcastle United,Sheffield United
2019,Brighton,Arsenal
2019,Norwich,Southampton
2019,Manchester City,Burnley
2019,Aston Villa,Chelsea
2019,West Ham,Wolves
2019,Tottenham,Manchester United
2019,Everton,Liverpool
2019,Tottenham,West Ham
2019,Manchester United,Sheffield United
2019,Chelsea,Manchester City
2019,Newcastle United,Aston Villa
2019,Norwich,Everton
2019,Burnley,Watford
2019,Liverpool,Crystal Palace
2019,Leicester,Brighton
2019,Wolves,Bournemouth
2019,Southampton,Arsenal
2019,Aston Villa,Wolves
2019,Crystal Palace,Burnley
2019,Watford,Southampton
2019,Arsenal,Norwich
2019,Brighton,Manchester United
2019,Bournemouth,Newcastle United
2019,Sheffield United,Tottenham
2019,West Ham,Chelsea
2019,Manchester City,Liverpool
2019,Everton,Leicester
2019,Newcastle United,West Ham
2019,Manchester United,Bournemouth
2019,Southampton,Manchester City
2019,Burnley,Sheffield United
2019,Norwich,Brighton
2019,Leicester,Crystal Palace
2019,Tottenham,Everton
2019,Chelsea,Watford
2019,Liverpool,Aston Villa
2019,Wolves,Arsenal
2019,Crystal Palace,Chelsea
2019,Manchester City,Newcastle United
2019,Bournemouth,Tottenham
2019,Watford,Norwich
2019,West Ham,Burnley
2019,Everton,Southampton
2019,Arsenal,Leicester
2019,Sheffield United,Wolves
2019,Aston Villa,Manchester United
2019,Brighton,Liverpool
2019,Liverpool,Burnley
2019,Watford,Newcastle United
2019,Norwich,West Ham
2019,Manchester United,Southampton
2019,Wolves,Everton
2019,Bournemouth,Leicester
2019,Brighton,Manchester City
2019,Sheffield United,Chelsea
2019,Tottenham,Arsenal
2019,Aston Villa,Crystal Palace
2019,Manchester City,Bournemouth
2019,Newcastle United,Tottenham
2019,Burnley,Wolves
2019,West Ham,Watford
2019,Crystal Palace,Manchester United
2019,Chelsea,Norwich
2019,Everton,Aston Villa
2019,Arsenal,Liverpool
2019,Southampton,Brighton
2019,Leicester,Sheffield United
2019,Tottenham,Leicester
2019,Brighton,Newcastle United
2019,Wolves,Crystal Palace
2019,Liverpool,Chelsea
2019,Sheffield United,Everton
2019,Manchester United,West Ham
2019,Bournemouth,Southampton
2019,Watford,Manchester City
2019,Aston Villa,Arsenal
2019,Norwich,Burnley
2019,Chelsea,Wolves
2019,Manchester City,Norwich
2019,Newcastle United,Liverpool
2019,Leicester,Manchester United
2019,Everton,Bournemouth
2019,West Ham,Aston Villa
2019,Crystal Palace,Tottenham
2019,Arsenal,Watford
2019,Southampton,Sheffield United
2019,Burnley,Brighton
